mdb_id,name,wahlkreis_id,wahlkreis_name,fraktion,url,geburtsdatum,partei,mandatsart,img_url
2029,"Bayram, Canan",83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/bayram_canan-857156,11.02.1966,BÜNDNIS 90/DIE GRÜNEN,Direktwahl,https://www.bundestag.de/resource/image/864588/3x4/284/379/d64c4081c7caa382744eff106f25410c/C2B59FEC965E2511F9787D9B305E9C57/bayram_canan_gross.jpg
2335,"Beck, Katharina",21,Hamburg-Nord,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/beck_katharina-860700,13.04.1982,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/861968/3x4/284/379/a73405271bf5792c07079446265490e1/7D8376AB9227F406E3BD38948192385E/beck_katharina.jpg
2333,"Beckamp, Roger",98,Rhein-Sieg-Kreis II,AfD,https://www.bundestag.de/abgeordnete/biografien/B/beckamp_roger-860236,18.07.1975,AfD,Landesliste,https://www.bundestag.de/resource/image/861966/3x4/284/379/66ce830f59df0874665d5896bf6e67c/9D7BBB02810672C4117896C5D5CF66B4/beckamp_roger.jpg
2334,"Becker, Dr. Holger",191,Jena – Sömmerda – Weimarer Land I,SPD,https://www.bundestag.de/abgeordnete/biografien/B/becker_holger-861440,15.07.1964,SPD,Direktwahl,https://www.bundestag.de/resource/image/865932/3x4/284/379/d3bdf00631fcf58fa266a1a54832d675/1263F1E337EFEB0DEC8CAA0359241531/becker_holger.jpg
2030,"Beeck, Jens",31,Mittelems,FDP,https://www.bundestag.de/abgeordnete/biografien/B/beeck_jens-857142,19.09.1969,FDP,Landesliste,https://www.bundestag.de/resource/image/864612/3x4/284/379/73c4fb8c60f2e4c64b7d5467b446c1f1/1EB3FB99689AF6B737DD44276B8CA5E0/beeck_jens_gross.jpg
2441,"Benkstein, Barbara",155,Meißen,AfD,https://www.bundestag.de/abgeordnete/biografien/B/benkstein_barbara-860782,04.10.1982,AfD,Direktwahl,https://www.bundestag.de/resource/image/862240/3x4/284/379/be8648c20b54d2a9fd4741fb60d1ede8/2FA5A535A7360145362A8C30629910FB/benkstein_barbara.jpg
2336,"Benner, Lukas",88,Aachen II,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/B/benner_lukas-861470,20.02.1996,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/867104/3x4/284/379/512188c230faa117343287772f35eff3/75D85F06085AE6D0442BC42FF2914BBA/benner_lukas.jpg
2337,"Berghahn, Jürgen",135,Lippe I,SPD,https://www.bundestag.de/abgeordnete/biografien/B/berghahn_juergen-861088,05.07.1960,SPD,Direktwahl,https://www.bundestag.de/resource/image/861972/3x4/284/379/931bb598a99904f7a4a3bbabcdd59693/420A5538EE9C5E4783E6BAC25210BD3D/berghahn_juergen.jpg
2338,"Bergt, Bengt",8,Segeberg – Stormarn-Mitte,SPD,https://www.bundestag.de/abgeordnete/biografien/B/bergt_bengt-861374,07.05.1982,SPD,Direktwahl,https://www.bundestag.de/resource/image/865536/3x4/284/379/8f1574c8abd4b9a8f5f0168bff01c934/49A3D0D2BC870AF0D2257ECE1ED248D9/bergt_bengt.jpg
2032,"Bernhard, Marc",271,Karlsruhe-Stadt,AfD,https://www.bundestag.de/abgeordnete/biografien/B/bernhard_marc-857114,05.02.1972,AfD,Landesliste,https://www.bundestag.de/resource/image/864592/3x4/284/379/708fcd4350a77d2e080fa4325f796e79/B6C7DFAD19176EAFF5934836C532B7DC/bernhard_marc_gross.jpg
2033,"Bernstein, Melanie",6,Plön – Neumünster,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/bernstein_melanie-932930,28.09.1976,CDU,Landesliste,https://www.bundestag.de/resource/image/935510/3x4/284/379/9dd6b4f29119ed71b301babb768e571d/C2229543800ECED292FA62D2D5E36744/bernstein_melanie_gross.jpg
1558,"Beyer, Peter",105,Mettmann II,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/beyer_peter-857108,25.12.1970,CDU,Direktwahl,https://www.bundestag.de/resource/image/864572/3x4/284/379/989c46687f45c536b9e3ca64e30ac4ae/DF9AD473AA89D284EAE8DEA57536F495/beyer_peter_gross.jpg
2036,"Biadacz, Marc",260,Böblingen,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/biadacz_marc-857126,03.09.1979,CDU,Direktwahl,https://www.bundestag.de/resource/image/864574/3x4/284/379/90d19881c27827ba6c37c96bb959e347/5CB76C6B15DE55E51AE5D813B1F7A45C/biadacz_marc_gross.jpg
1566,"Bilger, Steffen",265,Ludwigsburg,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/bilger_steffen-857146,16.02.1979,CDU,Direktwahl,https://www.bundestag.de/resource/image/864576/3x4/284/379/74fd13300fcab3ceda26a58a2a55a90a/FC8927B18A4B38FBDD61F174A54A07BC/bilger_steffen_gross.jpg
1656,"Birkwald, Matthias W.",94,Köln II,Gruppe Die Linke,https://www.bundestag.de/abgeordnete/biografien/B/birkwald_matthias_w-857206,28.09.1961,DIE LINKE.,Landesliste,https://www.bundestag.de/resource/image/864594/3x4/284/379/65a11bd9a06df3834955da8291e48179/3DAFE315285B40D5CB03806A2956CEB1/birkwald_matthias_gross.jpg
2339,"Blankenburg, Jakob",37,Lüchow-Dannenberg – Lüneburg,SPD,https://www.bundestag.de/abgeordnete/biografien/B/blankenburg_jakob-860872,05.08.1997,SPD,Direktwahl,https://www.bundestag.de/resource/image/861974/3x4/284/379/28423c8b7c09d7d9cd8ba40414523738/9BAAB7499FA03724FE0AF395B19BF80C/blankenburg_jakob.jpg
2037,"Bleck, Andreas",197,Neuwied,AfD,https://www.bundestag.de/abgeordnete/biografien/B/bleck_andreas-857164,17.04.1988,AfD,Landesliste,https://www.bundestag.de/resource/image/864596/3x4/284/379/3b8d97a999c3233918df1f330f0d2b86/9D8B9A19C817AF8044E39AE433CD2C82/bleck_andreas_gross.jpg
2340,"Bochmann, René",151,Nordsachsen,AfD,https://www.bundestag.de/abgeordnete/biografien/B/bochmann_rene-860294,04.02.1969,AfD,Direktwahl,https://www.bundestag.de/resource/image/869608/3x4/284/379/3e5e1df46d4d4bbf76144600e43050cf/1C52979755E3AD2C49723CA502778431/bochmann_rene.jpg
2341,"Bodtke, Ingo",74,Mansfeld,FDP,https://www.bundestag.de/abgeordnete/biografien/B/bodtke_ingo-860300,06.06.1965,FDP,Landesliste,https://www.bundestag.de/resource/image/865496/3x4/284/379/85d5d09fd207aeec3a853e1812999cda/99A727E4ADDAFFFB8614C76241E29428/bodtke_ingo.jpg
2038,"Boehringer, Peter",232,Amberg,AfD,https://www.bundestag.de/abgeordnete/biografien/B/boehringer_peter-857196,06.04.1969,AfD,Landesliste,https://www.bundestag.de/resource/image/864598/3x4/284/379/cb9529c1e5617eee7ecd8d2cac755ff1/A61613C579E5538AC8AD8622FEBC8AE4/boehringer_peter_gross.jpg
2342,"Boginski, Friedhelm",57,Uckermark – Barnim I,FDP,https://www.bundestag.de/abgeordnete/biografien/B/boginski_friedhelm-860302,07.11.1955,FDP,Landesliste,https://www.bundestag.de/resource/image/861982/3x4/284/379/b955178c9a5d540951fe665df987b1a0/45BB41575EB546474B9E6620B9BBAA90/boginski_friedhelm.jpg
2313,"Bollmann, Gereon",4,Rendsburg-Eckernförde,AfD,https://www.bundestag.de/abgeordnete/biografien/B/bollmann_gereon-860310,20.11.1953,AfD,Landesliste,https://www.bundestag.de/resource/image/866098/3x4/284/379/f5f6e98276762820b8c28c6efb5ddcd8/0B28B05844921F71A2F2AA00236DF12A/bollmann_gereon.jpg
2343,"Borchardt, Simone",13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/B/borchardt_simone-860762,11.09.1967,CDU,Landesliste,https://www.bundestag.de/resource/image/861984/3x4/284/379/285a723a6723b5e3d607d4b3f49031f4/5591FEF1946402D16B1CF64D66C41F15/borchardt_simone.jpg
