mdb_id,address,street,postalcode,city,lat,lon
1264,"Hauptkanal links 42, 26871 Papenburg",Hauptkanal links 42,26871,Papenburg,53.081971800000005,7.391664506412263
1264,"Ledastraße 11, 26789 Leer",Ledastraße 11,26789,Leer,53.2297817,7.4592535
2008,,,,,,
2057,,,,,,
2058,,,,,,
2059,"Großbeerenstraße 46, 12107 Berlin",Großbeerenstraße 46,12107,Berlin,52.4352355,13.3778659
2350,,,,,,
2305,,,,,,
1788,"Roonstraße 1, 59229 Ahlen",Roonstraße 1,59229,Ahlen,51.766198,7.8979158
2060,"Hinrich-Fehrs-Str. 2, 25813 Husum",Hinrich-Fehrs-Str. 2,25813,Husum,54.4832982,9.055587551982878
2060,"Neue Anlage 17, 25746 Heide",Neue Anlage 17,25746,Heide,54.1931796,9.093842514190738
1398,,,,,,
1917,,,,,,
993,,,,,,
2351,"Lipschitzallee 70, 12353 Berlin",Lipschitzallee 70,12353,Berlin,52.4251284,13.4635289
2352,,,,,,
1789,"Große Märkerstr. 6, 06108 Halle (Saale)",Große Märkerstr. 6,06108,Halle (Saale),51.4812148,11.9713998
2353,,,,,,
2354,"Südwall 38, 47798 Krefeld",Südwall 38,47798,Krefeld,51.3276131,6.5647417
2354,"Ostring 3, 47441 Moers",Ostring 3,47441,Moers,51.451551699999996,6.63048748970588
2355,"Altmarkt 7, 08280 Aue",Altmarkt 7,08280,Aue,50.586421,12.702720432311093
2063,"Bahnhofstraße 26, 34369 Hofgeismar",Bahnhofstraße 26,34369,Hofgeismar,51.4945123,9.389168645066178
2063,"Briloner Landstraße 27, 34497 Korbach",Briloner Landstraße 27,34497,Korbach,51.277352500000006,8.866312104230772
1791,"Spargasse 10, 97688 Bad Kissingen",Spargasse 10,97688,Bad Kissingen,50.2000111,10.0777661
1791,"Marktplatz 6, 97437 Haßfurt",Marktplatz 6,97437,Haßfurt,50.031894300000005,10.506625227456649
1646,,,,,,
1288,,,,,,
2356,"Kirchenplatz 2, 35390 Gießen",Kirchenplatz 2,35390,Gießen,50.5874489,8.675169
2356,"Alsfelder Str. 6, 35305 Grünberg",Alsfelder Str. 6,35305,Grünberg,50.591772500000005,8.960785134104047
2064,"Bernauer Str. 71, 16515 Oranienburg",Bernauer Str. 71,16515,Oranienburg,52.7576036,13.2509754
1792,,,,,,
1793,"Ebertplatz 23, 50668 Köln",Ebertplatz 23,50668,Köln,50.9511104,6.958645
2357,,,,,,
2358,,,,,,
2066,"Brookdamm 40, 27777 Ganderkesee",Brookdamm 40,27777,Ganderkesee,53.03480555,8.555789279135954
