mdb_id,ausschuss_id,funktion
794,a11,
2509,a11,
1919,a11,
2510,a11,
2511,a11,
1920,a11,O.
2512,a11,stv.M.
1307,a11,
1093,a11,
2597,a11,
2222,a11,
2223,a11,
2513,a11,
2514,a11,
1713,a11,
1921,a11,o.M.
1923,a11,V.
2601,a11,
1314,a11,
2000,a11,
1924,a11,
2590,a11,
2516,a11,
2226,a11,
1270,a11,
2517,a11,
2518,a11,
2519,a11,
1488,a11,
2520,a11,
2521,a11,
2522,a11,
1926,a11,
1927,a11,
2523,a11,
1492,a11,
1928,a11,
2227,a11,o.M.
2524,a11,
1929,a11,o.M.
2525,a11,
2526,a11,
2230,a11,
1932,a11,stv.M.
2527,a11,
2528,a11,
2231,a11,
2232,a11,
1097,a11,
2529,a11,
2234,a11,stv.M.
1706,a11,
1602,a11,
2530,a11,
2531,a11,
2235,a11,
2532,a11,
2237,a11,
2238,a11,
2533,a11,
2534,a11,
2535,a11,o.M.
2241,a11,
1936,a11,
2536,a11,
1500,a11,
1704,a11,
1938,a11,
1501,a11,
2243,a11,
2538,a11,
1584,a11,
2539,a11,o.M.
2244,a11,
2540,a11,
2541,a11,
2542,a11,
2245,a11,
1333,a11,
2246,a11,
1502,a11,
1680,a11,
2543,a11,
1940,a11,
1210,a11,
2544,a11,
2250,a11,
2545,a11,
2251,a11,o.M.
1943,a11,
2252,a11,
1944,a11,
2253,a11,
2547,a11,
1945,a11,
1946,a11,stv.M.
2548,a11,
2255,a11,
1949,a11,
2549,a11,stv.M.
1341,a11,
2550,a11,
1632,a11,
2551,a11,
2552,a11,
2553,a11,
2256,a11,
2257,a11,
1597,a11,o.M.
2259,a11,
813,a11,o.M.
1536,a11,O.
2554,a11,
2555,a11,
2515,a11,
2262,a11,stv.M.
1954,a11,
2263,a11,
2556,a11,
2264,a11,
2557,a11,o.M.
2265,a11,
1955,a11,
2266,a11,
1596,a11,
2267,a11,
1271,a11,
1956,a11,
2558,a11,
1757,a11,
2269,a11,
1510,a11,
1957,a11,
2559,a11,
2560,a11,
2015,a11,
2561,a11,
2270,a11,
2562,a11,
2271,a11,
1958,a11,stv.M.
1512,a11,o.M.
1960,a11,
2272,a11,
2286,a11,
1964,a11,stv.M.
1725,a11,stv.M.
1570,a11,
2563,a11,
2594,a11,
2273,a11,
1723,a11,
2564,a11,
2565,a11,
1610,a11,
2566,a11,
2567,a11,
861402,a11,
2568,a11,
2569,a11,
1756,a11,
1180,a11,
1968,a11,
2276,a11,
2570,a11,
2571,a11,
2277,a11,
2293,a11,
1971,a11,
2572,a11,stv.M.
2573,a11,stv.M.
1690,a11,
2574,a11,
2575,a11,
2278,a11,
1973,a11,
2279,a11,
1974,a11,o.M.
1130,a11,
2280,a11,
2576,a11,
1975,a11,
2281,a11,
2144,a11,
1135,a11,
1519,a11,
2577,a11,
2578,a11,o.M.
2283,a11,
2579,a11,
2580,a11,
2284,a11,b.M.
2581,a11,
2582,a11,
2583,a11,o.M.
2584,a11,
1980,a11,
1984,a11,
2585,a11,
2285,a11,
1985,a11,
1990,a11,
2586,a11,
2587,a11,
2588,a11,
2314,a03,
2315,a03,
2316,a03,o.M.
2317,a03,
2318,a03,
2319,a03,o.M.
2019,a03,
2320,a03,
2321,a03,
2322,a03,
1769,a03,
2020,a03,stv.M.
2021,a03,
2022,a03,
1771,a03,
2323,a03,
1383,a03,
2324,a03,
1642,a03,
2325,a03,
1773,a03,
1653,a03,
2326,a03,
2327,a03,o.M.
2328,a03,
2023,a03,stv.M.
1774,a03,
1229,a03,
2329,a03,
1775,a03,
1776,a03,
2330,a03,
2331,a03,
2288,a03,
1385,a03,
2599,a03,
1297,a03,
973,a03,stv.M.
2593,a03,
1607,a03,
2025,a03,
2332,a03,
2026,a03,
2029,a03,
2335,a03,
2333,a03,
2334,a03,
2030,a03,o.M.
2441,a03,
2336,a03,
2337,a03,
2338,a03,
2032,a03,
2033,a03,
1558,a03,o.M.
2036,a03,
1566,a03,
1656,a03,
2339,a03,
2037,a03,
2340,a03,
2341,a03,
2038,a03,
2342,a03,
2313,a03,
2343,a03,
1394,a03,stv.M.
2039,a03,
2040,a03,
2344,a03,
1648,a03,
2041,a03,
1785,a03,
1175,a03,
2043,a03,
2044,a03,
2045,a03,
1619,a03,
2345,a03,
2046,a03,
1659,a03,
2047,a03,
2346,a03,
1701,a03,stv.M.
2347,a03,
2299,a03,
2048,a03,
2049,a03,
2589,a03,
2348,a03,
1661,a03,
2051,a03,
2053,a03,O.
2349,a03,
1787,a03,
2054,a03,
2055,a03,
2056,a03,
1264,a03,
2008,a03,o.M.
2057,a03,
2058,a03,
2059,a03,
2350,a03,
2305,a03,
1788,a03,
2060,a03,
1398,a03,o.M.
1917,a03,
993,a03,
2351,a03,
2352,a03,
1789,a03,o.M.
2353,a03,
2354,a03,
2355,a03,
2063,a03,
1791,a03,
1646,a03,o.M.
1288,a03,
2356,a03,
2064,a03,
1792,a03,
1793,a03,
2357,a03,stv.M.
2358,a03,O.
2066,a03,
1794,a03,
1750,a03,
2359,a03,
2360,a03,
2361,a03,
2068,a03,
2362,a03,
2309,a03,
2363,a03,
2364,a03,
2365,a03,
2070,a03,stv.V.
1406,a03,
2071,a03,
1797,a03,
2072,a03,
2073,a03,
1799,a03,
2366,a03,
2367,a03,b.M.
1800,a03,
1801,a03,
2075,a03,
1335,a03,
2076,a03,
2368,a03,
2369,a03,
2596,a03,
2077,a03,
1583,a03,
1806,a03,
1195,a03,
2079,a03,
1011,a03,
1665,a03,
2082,a03,
2081,a03,stv.M.
2371,a03,stv.M.
2370,a03,
1649,a03,
2372,a03,o.M.
2373,a03,
2375,a03,
1808,a03,
2084,a03,o.M.
2374,a03,
1630,a03,
1408,a03,
2376,a03,
2086,a03,
1647,a03,
2377,a03,
1410,a03,
2378,a03,
2087,a03,
1994,a03,
2467,a03,o.M.
2379,a03,
1020,a03,
2380,a03,
1616,a03,
2091,a03,
2381,a03,
2382,a03,
2383,a03,
1155,a03,
763,a03,
1208,a03,
1269,a03,
2591,a03,
1412,a03,stv.M.
2384,a03,
764,a03,o.M.
2093,a03,o.M.
1813,a03,
2385,a03,
1815,a03,
2386,a03,
1176,a03,
167,a03,O.
1816,a03,
2387,a03,
2094,a03,stv.M.
1324,a03,
1817,a03,
1818,a03,
1637,a03,
1819,a03,
2096,a03,
1620,a03,O.
2388,a03,
1821,a03,
2389,a03,
1416,a03,
1822,a03,
2099,a03,
1824,a03,
1825,a03,
2289,a03,
1030,a03,
1586,a03,
2390,a03,
2101,a03,
1826,a03,stv.M.
2391,a03,
2392,a03,
1989,a03,
2102,a03,
1760,a03,
2393,a03,
2395,a03,
2394,a03,
2104,a03,
2105,a03,
2106,a03,
2396,a03,
2397,a03,
2110,a03,
2111,a03,
2605,a03,
1673,a03,
2398,a03,
2112,a03,
1538,a03,
1831,a03,
2114,a03,
2113,a03,
1674,a03,
2399,a03,
1832,a03,
2115,a03,
2116,a03,
1426,a03,
2604,a03,
2120,a03,
2121,a03,stv.M.
1833,a03,
2400,a03,
2401,a03,
2122,a03,
2123,a03,
2402,a03,
2403,a03,
217,a03,
1578,a03,stv.M.
2404,a03,
2125,a03,stv.M.
1839,a03,
2127,a03,
1840,a03,
2405,a03,
2406,a03,
1738,a03,
2128,a03,
2129,a03,
1433,a03,
1845,a03,
1434,a03,
2407,a03,
1551,a03,
2408,a03,stv.M.
2132,a03,
2134,a03,
2409,a03,stv.M.
1851,a03,
2410,a03,
2411,a03,
1853,a03,
2412,a03,
2413,a03,
1720,a03,
2415,a03,
1996,a03,
2416,a03,
1557,a03,
2139,a03,o.M.
2417,a03,
1567,a03,o.M.
2140,a03,
1709,a03,
1855,a03,
2418,a03,
2141,a03,
2419,a03,
1640,a03,
1580,a03,
2142,a03,
2420,a03,
1374,a03,stv.M.
2421,a03,
2422,a03,
2145,a03,
2423,a03,
1730,a03,
1734,a03,
2146,a03,
2424,a03,
2148,a03,
1441,a03,
1860,a03,
1368,a03,
2147,a03,
2149,a03,
1859,a03,o.M.
2425,a03,
